name,provider,id,city,notes
Gaijin Izakaya,ontopo,97659206,Tel Aviv,
Cicchetti,ontopo,19190300,Tel Aviv,
Shila,ontopo,69127207,Tel Aviv,
Chacoli,ontopo,51001068,Tel Aviv,
North Abraxas,ontopo,83728647,Tel Aviv,
ASA Izakaya,ontopo,99180045,Tel Aviv,
HaKatan,ontopo,34194188,Tel Aviv,
Santi,ontopo,12721306,Tel Aviv,
A (by Yuval Ben Neriah),ontopo,83077556,Tel Aviv,
Umai,ontopo,99470760,Tel Aviv,
Cichukai,ontopo,14817406,Tel Aviv,
Selas,ontopo,38846714,Tel Aviv,
Bar 51,ontopo,31338736,Tel Aviv,
Pronto,ontopo,91744329,Tel Aviv,
Night Kitchen,ontopo,20745964,Tel Aviv,
Cafe Italia,ontopo,94520943,Tel Aviv,
Romano,ontopo,58551219,Tel Aviv,
Port Said,ontopo,12622147,Tel Aviv,
Mashya,ontopo,45994738,Tel Aviv,
Taizu,ontopo,36960535,Tel Aviv,
OCD,ontopo,88542392,Tel Aviv,
The Brothers (HaAchim),ontopo,70830447,Tel Aviv,
Milgo & Milbar,ontopo,74645566,Tel Aviv,
Abie,ontopo,51626897,Tel Aviv,
Barbur,ontopo,30131276,Tel Aviv,
Yaffo Tel Aviv,ontopo,15876949,Tel Aviv,
Santa Katarina,ontopo,53724621,Tel Aviv,
Hotel Montefiore,ontopo,35096638,Tel Aviv,
Weiss,ontopo,83098931,Tel Aviv,
R48,ontopo,96361406,Tel Aviv,
HaSalon,ontopo,12618300,Tel Aviv,
Pereh,ontopo,45923189,Tel Aviv,
Cafe Popular,ontopo,56055192,Tel Aviv,
Kab Kem,ontopo,29325980,Tel Aviv,
Tirza,ontopo,30427268,Tel Aviv,
Cafe Europa,ontopo,62031429,Tel Aviv,
Herzl 16,ontopo,83259921,Tel Aviv,
Par Derriere,ontopo,60041284,Tel Aviv,
Bellboy,ontopo,99408227,Tel Aviv,
Beit Kandinof,ontopo,39372241,Tel Aviv,
Juniper,ontopo,72956262,Tel Aviv,
DOK Tel Aviv,tabit,60ab7a96e463ba173196d5ce,Tel Aviv,
Habasta,tabit,61c1d92e27a8d428eccf30ca,Tel Aviv,
Soof,tabit,68d8ffdcebe2de46b1e6abf6,Tel Aviv,
R48 Chef's Table,tabit,62efae532edea116b743b2f9,Tel Aviv,
OPA,tabit,62692211f0e80682598dc05b,Tel Aviv,
Rova A,tabit,64a2cd4dbaaf6d1b2ba2dfdc,Tel Aviv,
Hiba,tabit,613f0d252587d979ae0aa702,Tel Aviv,
